"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUEXP","TRY","USD_STUDENT","A","1995",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2000",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2005",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2008",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2009",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2010",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2011",,"M"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2012",16475.701,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2013",16899.797,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2014",16867.621,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2015",17555.235,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","1995",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2000",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2005",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2008",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2009",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2010",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2011",,"M"
"BEL","EDUEXP","PRY","USD_STUDENT","A","2012",9818.121,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2013",10072.388,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2014",10191.04,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2015",10210.841,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2016",,"M"
"CZE","EDUEXP","TRY","USD_STUDENT","A","1995",7833.035,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2000",5319.799,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2005",6572.162,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2008",8179.323,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2009",8403.59,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2010",7961.434,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2011",9478.244,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2012",10421.611,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2013",10307.664,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2014",10490.257,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2015",10890.714,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"FRA","EDUEXP","TRY","USD_STUDENT","A","1995",,"M"
"FRA","EDUEXP","TRY","USD_STUDENT","A","2000",9811.508,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2005",11220.19,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2008",14325.907,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2009",14933.127,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2010",15160.277,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2011",15587.438,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2012",15392.093,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2013",16233.881,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16353.797,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2015",16144.755,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"HUN","EDUEXP","TRY","USD_STUDENT","A","1995",6359.319,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2000",6196.11,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2005",5522.279,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2008",,"M"
"HUN","EDUEXP","TRY","USD_STUDENT","A","2009",,"M"
"HUN","EDUEXP","TRY","USD_STUDENT","A","2010",,"M"
"HUN","EDUEXP","TRY","USD_STUDENT","A","2011",,"M"
"HUN","EDUEXP","TRY","USD_STUDENT","A","2012",9039.39,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2013",10373.965,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2014",8647.33,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2015",8761.462,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","1995",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2000",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2005",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2008",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2009",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2010",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2011",,"M"
"SWE","EDUEXP","PRY","USD_STUDENT","A","2012",10512.672,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2013",10807.128,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2014",10832.121,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2015",10853.292,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2016",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","1995",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2000",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2005",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2008",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2009",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2010",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2011",,"M"
"GBR","EDUEXP","PRY","USD_STUDENT","A","2012",9923.909,
"GBR","EDUEXP","PRY","USD_STUDENT","A","2013",10615.377,
"GBR","EDUEXP","PRY","USD_STUDENT","A","2014",11276.631,
"GBR","EDUEXP","PRY","USD_STUDENT","A","2015",11629.644,
"GBR","EDUEXP","PRY","USD_STUDENT","A","2016",,"M"
"CHL","EDUEXP","TRY","USD_STUDENT","A","1995",4486.258,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2000",5935.041,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2005",5968.982,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2008",6385.96,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2009",6238.224,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2010",7171.145,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2011",7851.805,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2012",8354.463,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2013",7973.535,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2014",7813.067,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2015",6677.146,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2016",8405.866,
"CHN","EDUEXP","PRY","USD_STUDENT","A","1995",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2000",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2005",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2008",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2009",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2010",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2011",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2012",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2013",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","PRY","USD_STUDENT","A","2016",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","1995",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2000",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2005",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2008",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2009",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2010",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2011",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
