"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2014",0.718,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2015",0.769,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2014",1.615,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2015",1.633,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.259,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2015",1.223,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2014",1.207,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2015",1.201,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2014",0.784,
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2015",0.756,
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2014",1.562,
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2015",,"M"
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2014",1.713,
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2015",1.606,
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2014",1.141,
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2015",1.14,
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2014",1.032,
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2015",1.012,
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2014",0.655,
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2015",0.556,
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.138,
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2015",1.145,
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2014",0.822,
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2015",0.603,
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2014",0.609,
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2015",0.57,
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2014",0.495,
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2015",0.45,
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2014",0.775,
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2015",0.656,
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2014",1.007,
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2015",1.003,
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2014",1.172,
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2015",1.165,
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2014",0.912,
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2015",0.906,
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
